#Coverage (X)	Coverage
1.0	12.851793674469107
2.0	2.307135683417883
3.0	0.5586071343733465
4.0	0.19492186990359528
5.0	0.09206896054998026
6.0	0.053117832321490255
7.0	0.03562886173831714
8.0	0.02664512069137004
9.0	0.021588463088619392
10.0	0.018423296985318416
11.0	0.016289281985621074
12.0	0.014772373502211167
13.0	0.01360209460855799
14.0	0.012694052241300824
15.0	0.01192638082790154
16.0	0.011246086071011518
17.0	0.010643258179086956
18.0	0.010107276981287328
19.0	0.009634270910297005
20.0	0.00919923461403016
21.0	0.008816446716835458
22.0	0.008444634180150956
23.0	0.008105285978444954
24.0	0.007798046922047774
25.0	0.007513682079789419
26.0	0.007227647846136165
27.0	0.006953974212663638
28.0	0.006703778615758438
29.0	0.00647169769153777
30.0	0.00625716313655289
31.0	0.006052325259304325
32.0	0.005859031046014707
33.0	0.005675291434599217
34.0	0.0054921911645777755
35.0	0.005331609919025482
36.0	0.005182820970205171
37.0	0.005037725993858544
38.0	0.004895721167557099
39.0	0.00474867264807699
40.0	0.004609367263199715
41.0	0.004482315921606528
42.0	0.004361764550807834
43.0	0.004252295097415981
44.0	0.00414758518547842
45.0	0.00404337253907272
46.0	0.003941823815111434
47.0	0.003846810580910187
48.0	0.0037560241036658226
49.0	0.0036655217781458305
50.0	0.003576901957828227
51.0	0.0034960963100445497
