#Duplication rate	Coverage
1.0	1.38639659E8
2.0	1.6701629E7
3.0	3119648.0
4.0	1019730.0
5.0	433478.0
6.0	233393.0
7.0	137856.0
8.0	90969.0
9.0	62374.0
10.0	45761.0
11.0	33931.0
12.0	26797.0
13.0	20786.0
14.0	16735.0
15.0	13781.0
16.0	11621.0
17.0	9498.0
18.0	8139.0
19.0	6993.0
20.0	6234.0
21.0	5225.0
22.0	4754.0
23.0	4153.0
24.0	3838.0
25.0	3377.0
26.0	3166.0
27.0	2811.0
28.0	2593.0
29.0	2431.0
30.0	2200.0
31.0	2016.0
32.0	1859.0
33.0	1775.0
34.0	1523.0
35.0	1538.0
36.0	1484.0
37.0	1254.0
38.0	1252.0
39.0	1269.0
40.0	1096.0
41.0	1098.0
42.0	1031.0
43.0	984.0
44.0	925.0
45.0	846.0
46.0	854.0
47.0	771.0
48.0	739.0
49.0	666.0
50.0	22078.0
