#Position (bp)	mapping quality
3381345.5	55.85796553081871
1.01440355E7	57.34976739882871
1.69067255E7	57.101758230449946
2.36694155E7	55.45948839341356
3.04321055E7	54.233230526696794
3.71947955E7	55.55535200678767
4.39574855E7	54.77995222837493
5.07201755E7	54.363767355595705
5.74828655E7	54.79237248194232
6.42455555E7	54.32478579958698
7.10082455E7	54.24277928557086
7.77709355E7	53.002198595287105
8.45336255E7	52.608962180165165
9.12963155E7	51.741228768355704
9.80590055E7	53.13301573163903
1.048216955E8	54.63456536946527
1.115843855E8	55.23437448547864
1.183470755E8	48.75676792027282
1.251097655E8	50.17150071260275
1.318724555E8	53.38426064726245
1.386351455E8	55.16183784113157
1.453978355E8	54.07532664388414
1.521605255E8	55.262245778694535
1.589232155E8	55.005453127792116
1.656859055E8	56.70634829298029
1.724485955E8	53.3498177656078
1.792112855E8	57.599999827642165
1.859739755E8	58.01998798261063
1.927366655E8	58.02506849300733
1.994993555E8	57.69814522621277
2.05937114E8	57.12384285604301
2.09318459E8	56.75021685899577
2.130247355E8	57.52565348504804
2.197874255E8	57.813031773399665
2.265501155E8	58.00455051800921
2.333128055E8	56.57234092466845
2.400754955E8	54.783661136529155
2.468381855E8	53.030036502529526
2.536008755E8	54.77506025332585
2.603635655E8	55.07296581056559
2.671262555E8	55.30958629501128
2.738889455E8	54.719495141181675
2.806516355E8	52.17330374236666
2.874143255E8	55.61848072269327
2.941770155E8	56.862691051614625
3.009397055E8	49.079700211043594
3.077023955E8	54.41372219005752
3.144650855E8	55.50739373309305
3.212277755E8	54.614646111148126
3.279904655E8	47.46416930698845
3.347531555E8	50.98874295286991
3.415158455E8	54.90035910129311
3.482785355E8	53.54214305623977
3.550412255E8	53.389052030572685
3.618039155E8	54.478136340162536
3.685666055E8	55.309904540665684
3.753292955E8	56.00671039829004
3.820919855E8	56.39131616986014
3.888546755E8	55.457005700722895
3.956173655E8	57.14498561763686
4.023800555E8	57.84543429650115
4.07291275E8	55.75641541141421
4.1067262E8	56.74883576614486
4.159054355E8	58.19289654173827
4.226681255E8	56.90094551853326
4.294308155E8	55.98067251008154
4.361935055E8	56.883390114296525
4.429561955E8	57.35017060746794
4.497188855E8	51.71392795025241
4.564815755E8	55.881756106451775
4.632442655E8	50.83477104966186
4.700069555E8	50.75855317989685
4.767696455E8	56.49670628599194
4.835323355E8	54.803419435995075
4.902950255E8	55.02673002850175
4.970577155E8	54.50777406972372
5.038204055E8	56.14972569679741
5.105830955E8	54.742647768398356
5.173457855E8	55.358310495145716
5.241084755E8	55.140953981292135
5.308711655E8	56.52470401595343
5.376338555E8	54.79399988453032
5.443965455E8	53.4967716763716
5.511592355E8	54.804842532669234
5.579219255E8	55.48957305005652
5.646846155E8	55.05692755610291
5.714473055E8	56.549944981765655
5.782099955E8	56.7709770382616
5.849726855E8	55.69522328196124
5.903608885E8	55.37780515278364
5.937422335E8	52.59554558891575
5.984980655E8	48.372635018312415
6.052607555E8	58.057621671483965
6.120234455E8	55.38569871507281
6.187861355E8	56.19538444960721
6.255488255E8	56.225462519368655
6.323115155E8	54.03333020879103
6.390742055E8	55.61831684847255
6.458368955E8	55.3542734000112
6.525995855E8	52.28634117640031
6.593622755E8	54.733820658452785
6.661249655E8	51.70525837405696
6.728876555E8	53.715532862719634
6.796503455E8	55.775352427101794
6.864130355E8	52.22103255659757
6.931757255E8	53.77108879989165
6.999384155E8	54.12745688363929
7.067011055E8	54.587015013201935
7.134637955E8	54.02108272698822
7.202264855E8	55.298647302300786
7.269891755E8	54.75677662562265
7.337518655E8	54.775970575155306
7.405145555E8	56.422939560428134
7.472772455E8	56.59967693765017
7.540399355E8	57.56781838418991
7.608026255E8	57.847186118679
7.668320365E8	57.55806343816651
7.702133815E8	51.93351837686858
7.743280055E8	57.38882910197895
7.810906955E8	57.529195719394956
7.878533855E8	55.684260781533894
7.946160755E8	56.486406796990046
8.013787655E8	54.99500896859597
8.081414555E8	54.40765391989892
8.149041455E8	54.21427386694651
8.216668355E8	54.9207435834411
8.284295255E8	54.99997086708197
8.351922155E8	53.301393319709014
8.419549055E8	55.144517618963825
8.487175955E8	46.23969806964518
8.554802855E8	47.616023517655506
8.622429755E8	51.14343722522923
8.690056655E8	41.311532269830025
8.757683555E8	46.13802900776422
8.825310455E8	55.608873157303584
8.892937355E8	56.36864715932847
8.960564255E8	57.40451294918299
9.028191155E8	52.305216393211346
9.095818055E8	53.448421877708284
9.163444955E8	54.47028610674158
9.231071855E8	57.41694693834632
9.298698755E8	57.05367482192546
9.366325655E8	58.19748970111389
9.426997425E8	58.209035279529246
9.460810875E8	49.512982732031745
9.501579455E8	57.45461879490802
9.569206355E8	57.09337608579515
9.636833255E8	56.31291160143211
9.704460155E8	55.79652451366881
9.772087055E8	54.50644449300298
9.839713955E8	53.70548232735017
9.907340855E8	55.45413396561347
9.974967755E8	55.06329727361281
1.0042594655E9	54.8657889723457
1.0110221555E9	54.799223290009934
1.0177848455E9	54.3862214855188
1.0245475355E9	55.18569631551945
1.0313102255E9	50.148762728948
1.0380729155E9	53.58798615698386
1.0448356055E9	56.13481034868557
